V1_R1_lh,V1_R2_lh,V2_R1_lh,V2_R2_lh,V3_R1_lh,V3_R2_lh,V4_R1_lh,V4_R2_lh,V1_R1_rh,V1_R2_rh,V2_R1_rh,V2_R2_rh,V3_R1_rh,V3_R2_rh,V4_R1_rh,V4_R2_rh,NLetters,NLetters_S1,NLetters_S2,NLetters_RightMeridian,NLetters_LeftMeridian,crowdingDist_Ecc5_Left_Meridian_Ses1,crowdingDist_Ecc5_Left_Meridian_Ses2,crowdingDist_Ecc5_Lower_Meridian_Ses1,crowdingDist_Ecc5_Lower_Meridian_Ses2,crowdingDist_Ecc5_Right_Meridian_Ses1,crowdingDist_Ecc5_Right_Meridian_Ses2,crowdingDist_Ecc5_Upper_Meridian_Ses1,crowdingDist_Ecc5_Upper_Meridian_Ses2,crowdingDist_Ecc10_Left_Meridian_Ses1,crowdingDist_Ecc10_Left_Meridian_Ses2,crowdingDist_Ecc10_Lower_Meridian_Ses1,crowdingDist_Ecc10_Lower_Meridian_Ses2,crowdingDist_Ecc10_Right_Meridian_Ses1,crowdingDist_Ecc10_Right_Meridian_Ses2,crowdingDist_Ecc10_Upper_Meridian_Ses1,crowdingDist_Ecc10_Upper_Meridian_Ses2
815,881,1400,1078,1136,1336,389,309,867,871,1181,1212,1046,1000,239,284,366,339,395,204,451,0.676001694644478,0.77740194884115,1.72380432134342,1.62240406714675,1.23370309272617,1.28440321982451,2.11250529576399,2.01110504156732,3.63350910871407,1.96040491446899,4.05601016786687,4.41091105755522,3.98840999840242,2.90680728697126,3.93770987130409,4.64751165068079
1600,1628,1267,1340,1006,946,510,500,1674,1667,1564,1509,1013,959,562,533,375,360,390,297,181,1.52100381295008,1.35200338928896,1.43650360111952,1.18300296562784,1.25060313509228,1.16610292326173,1.8421046179062,1.79140449080787,3.16030792246294,3.58280898161573,3.09270775299849,3.19410800719516,2.65330665147958,2.23080559232678,4.22501059152799,4.68131173541301
1067,1072,1067,1101,852,786,321,354,1050,931,1054,1026,940,981,491,357,441,371,523,264,472,1.01400254196672,0.523901313349471,1.60550402478064,1.1323028385295,1.30130326219062,1.19990300799395,2.43360610072012,1.89280474500454,2.46740618545235,2.60260652438124,3.34620838849017,2.6871067362118,2.85610715987292,2.45050614308623,4.00531004076853,5.35731343005749
1090,961,1377,1339,914,978,468,432,1343,1394,1546,1520,980,1171,425,407,682,663,701,535,602,0.743601864108926,0.591501482813918,1.14920288089561,1.11540279616339,0.659101652278366,0.845002118305598,1.48720372821785,1.4196035587534,2.06180516866566,2.31530580415734,2.45050614308623,2.92370732933737,2.6871067362118,1.77450444844176,4.22501059152799,4.03911012550076
1335,1365,1290,1103,1153,1310,577,325,1606,1488,1375,1469,1197,1282,624,405,485,432,543,628,280,1.90970478737065,0.760501906475038,1.1323028385295,1.19990300799395,0.523901313349471,0.591501482813918,2.24770563469289,1.60550402478064,1.74070436370953,3.83630961710741,3.98840999840242,2.99130749880182,2.9744074564357,2.09560525339788,5.05311266746748,5.12071283693192
1637,1583,1319,1453,962,1003,476,471,1361,1115,1415,1446,96,943,698,564,559,486,640,918,292,1.21680305036006,0.625301567546142,1.57170394004841,1.23370309272617,0.760501906475038,0.69290173701059,1.79140449080787,1.82520457554009,3.83630961710741,3.05890766826626,3.36310843085628,3.2448081342935,1.31820330455673,1.30130326219062,3.73490936291074,4.377110972823
1211,1514,1665,1270,1068,1083,549,559,1275,1100,1108,1302,1154,1142,702,459,484,461,506,438,259,1.43650360111952,1.01400254196672,1.1323028385295,0.980202457234494,0.794301991207262,0.828102075939486,1.9773049568351,1.67310419424508,2.88990724460514,2.70400677857791,2.55190639728291,2.60260652438124,2.24770563469289,2.6871067362118,4.85031215907413,5.40801355715583
1435,1344,1855,1821,1081,1287,286,303,1412,1405,1599,1745,973,961,285,302,353,355,351,426,235,1.63930410951286,1.28440321982451,1.4196035587534,1.30130326219062,0.794301991207262,1.47030368585174,2.14630538049622,2.19700550759455,1.85900466027232,3.5321088545174,4.71511182014524,5.15451292166415,3.04200762590015,1.18300296562784,5.52631385371861,5.25591317586082
1442,1396,1281,1219,794,981,586,498,1562,1537,1367,1233,918,889,505,257,538,546,529,356,377,0.963302414868382,0.878802203037822,1.1323028385295,1.21680305036006,1.21680305036006,1.16610292326173,1.85900466027232,1.96040491446899,2.14630538049622,2.94060737170348,3.71800932054463,2.3998060159879,2.48430622781846,1.70690427897731,2.12940533813011,4.00531004076853
881,933,1359,1290,1108,1056,360,334,1023,907,1094,1156,1017,1074,496,437,603,561,647,1236,167,1.31820330455673,0.828102075939486,1.06470266906505,0.94640237250227,0.490101228617247,0.523901313349471,1.50410377058396,1.38580347402118,5.57701398081695,4.47851122701967,3.22790809192738,3.9546099136702,1.23370309272617,1.57170394004841,4.07291021023298,3.32930834612406
1669,1760,1865,1590,1030,1142,407,525,1758,1724,1578,1477,1021,1007,544,431,396,368,424,318,198,1.48720372821785,0.997102499600605,1.2675031774584,1.5548038976823,1.09850275379728,1.1323028385295,1.90970478737065,1.79140449080787,3.68420923581241,3.54900889688351,3.07580771063238,3.00820754116793,2.87300720223903,2.11250529576399,3.90390978657186,4.03911012550076
1448,1483,1455,1557,1059,950,483,408,1493,1503,1212,1256,1157,1108,576,501,407,431,384,456,280,0.929502330136158,1.23370309272617,2.95750741406959,1.79140449080787,0.60840152518003,0.69290173701059,1.21680305036006,1.23370309272617,2.78850699040847,3.02510758353404,3.90390978657186,4.83341211670802,2.73780686331014,3.17720796482905,4.42781109992133,4.85031215907413
1519,1715,1466,1372,965,704,237,212,1565,1588,1375,1048,764,844,363,390,265,270,259,175,116,1.82520457554009,2.07870521103177,1.8421046179062,1.70690427897731,1.4196035587534,1.77450444844176,1.90970478737065,1.85900466027232,5.23901313349471,2.8223070751407,3.70110927817852,3.59970902398185,2.34910588888956,4.20811054916188,4.19121050679577,4.08981025259909
1529,1526,1415,1429,1340,1282,414,368,1453,1436,1466,1384,977,1096,575,417,362,321,408,235,197,1.72380432134342,1.19990300799395,1.53790385531619,1.4196035587534,1.28440321982451,1.25060313509228,1.74070436370953,1.63930410951286,3.85320965947353,2.46740618545235,3.46450868505295,2.36600593125567,2.31530580415734,3.71800932054463,4.78271198960968,4.41091105755522
1399,1414,1335,1350,914,920,340,433,1433,1441,1344,1205,819,899,209,278,278,242,317,180,205,1.58860398241452,1.31820330455673,2.55190639728291,1.96040491446899,1.67310419424508,1.18300296562784,2.19700550759455,1.60550402478064,3.1096077953646,2.77160694804236,3.83630961710741,4.83341211670802,3.58280898161573,3.31240830375794,4.2419106338941,4.19121050679577
1495,1310,1257,1304,833,951,630,666,1370,1307,1497,1483,834,884,313,253,385,348,425,392,161,1.47030368585174,1.31820330455673,1.58860398241452,1.08160271143117,1.18300296562784,0.845002118305598,1.65620415187897,1.67310419424508,3.80250953237519,3.98840999840242,4.00531004076853,3.22790809192738,2.06180516866566,2.3998060159879,4.39401101518911,4.56301143885023
1590,1695,1364,1440,895,1112,518,431,1764,1794,1754,1691,873,1090,485,385,414,409,419,368,290,1.21680305036006,1.31820330455673,2.09560525339788,1.48720372821785,1.25060313509228,1.08160271143117,1.77450444844176,1.90970478737065,3.87010970183964,1.45340364348563,2.83920711750681,3.61660906634796,1.33510334692284,3.1096077953646,3.98840999840242,4.54611139648412
1844,1708,1259,1385,958,1097,284,386,1552,1534,1150,1182,1061,1075,492,468,403,430,376,258,287,1.36890343165507,0.963302414868382,1.08160271143117,1.35200338928896,0.963302414868382,1.1323028385295,1.74070436370953,2.02800508393343,2.28150571942511,3.07580771063238,2.88990724460514,3.12650783773071,3.2448081342935,3.22790809192738,5.10381279456581,4.98551249800303
596,753,863,791,1003,1406,471,411,1051,1691,930,1204,1307,1143,619,527,352,371,332,314,148,1.5548038976823,1.5548038976823,1.67310419424508,1.33510334692284,0.574601440447807,0.845002118305598,1.4196035587534,1.94350487210288,3.51520881215129,4.07291021023298,3.05890766826626,3.16030792246294,4.32641084572466,3.68420923581241,4.9517124132708,4.71511182014524
1214,1435,1093,975,887,803,596,538,1245,1274,902,797,693,687,463,330,384,345,427,369,271,1.36890343165507,1.36890343165507,1.90970478737065,1.5548038976823,0.997102499600605,1.03090258433283,1.89280474500454,1.72380432134342,2.51810631255068,2.19700550759455,3.8194095747413,3.3969085155885,2.55190639728291,2.12940533813011,5.42491359952194,4.63061160831468
1149,991,1205,1245,963,972,658,440,1326,1234,1370,1452,914,939,579,573,841,787,898,878,877,0.642201609912254,0.557701398081695,1.19990300799395,0.94640237250227,0.625301567546142,0.709801779376702,1.52100381295008,1.45340364348563,1.75760440607564,1.57170394004841,3.1096077953646,2.3998060159879,1.38580347402118,1.60550402478064,4.34331088809077,4.32641084572466
1698,1697,1564,1540,820,842,206,264,1810,1812,1407,1195,837,924,431,319,535,493,579,562,216,1.4196035587534,1.19990300799395,1.18300296562784,1.1323028385295,1.09850275379728,0.625301567546142,1.43650360111952,1.14920288089561,3.16030792246294,3.02510758353404,3.26170817665961,3.61660906634796,1.9773049568351,1.77450444844176,2.90680728697126,4.36021093045689
1790,1810,1357,1299,1223,1248,527,491,1674,1629,1389,1337,1553,1153,754,610,552,498,610,406,448,0.642201609912254,0.895702245403934,1.5548038976823,1.35200338928896,1.40270351638729,0.980202457234494,1.8421046179062,1.09850275379728,2.264605677059,2.90680728697126,3.29550826139183,3.02510758353404,2.01110504156732,1.67310419424508,3.88700974420575,3.48140872741906
1754,1773,1234,1180,1134,1153,492,518,1153,1215,1166,1134,980,923,420,568,694,657,733,815,396,1.14920288089561,0.676001694644478,1.16610292326173,1.01400254196672,0.591501482813918,0.540801355715583,1.70690427897731,1.16610292326173,2.55190639728291,2.45050614308623,2.75470690567625,2.72090682094403,1.45340364348563,2.46740618545235,3.59970902398185,4.51231131175189
1915,2071,1802,1448,918,1218,433,429,2089,1752,1474,1419,1297,1360,527,531,315,283,349,245,109,1.8421046179062,1.94350487210288,1.30130326219062,1.21680305036006,1.5548038976823,1.30130326219062,1.94350487210288,1.58860398241452,4.63061160831468,3.83630961710741,3.16030792246294,2.95750741406959,2.53500635491679,2.46740618545235,5.40801355715583,4.56301143885023
1696,1830,1504,1373,970,930,381,720,1306,1151,1200,1279,989,1164,551,594,533,496,572,1087,284,1.63930410951286,0.743601864108926,1.40270351638729,1.4196035587534,0.591501482813918,0.60840152518003,2.58570648201513,2.09560525339788,2.50120627018457,3.09270775299849,3.00820754116793,2.72090682094403,1.08160271143117,1.65620415187897,5.34041338769138,4.61371156594856
1587,1573,1307,1085,896,1076,455,464,1441,1464,1259,1242,952,927,405,409,431,390,475,538,169,1.8421046179062,1.52100381295008,1.58860398241452,1.30130326219062,1.08160271143117,1.08160271143117,1.94350487210288,1.53790385531619,3.34620838849017,2.85610715987292,2.3998060159879,2.88990724460514,1.87590470263843,1.19990300799395,4.32641084572466,5.56011393845083
1975,2008,1631,1489,1090,1050,512,689,1689,1500,1675,1743,1278,1131,422,532,588,555,621,968,315,0.760501906475038,0.676001694644478,1.4196035587534,1.80830453317398,0.422501059152799,0.507001270983359,1.67310419424508,1.04780262669894,3.56590893924962,4.19121050679577,3.58280898161573,4.61371156594856,2.73780686331014,1.38580347402118,3.65040915108018,3.58280898161573
1318,1434,1100,1129,1087,1424,654,574,1519,1442,1429,1443,901,921,507,742,663,565,778,864,434,1.21680305036006,0.77740194884115,1.47030368585174,1.11540279616339,0.86190216067171,0.642201609912254,1.38580347402118,1.62240406714675,1.43650360111952,2.9744074564357,2.77160694804236,2.51810631255068,2.53500635491679,0.726701821742814,4.22501059152799,5.15451292166415
